SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
527,RJ,Rajasthan,RJ_Jhunjhunu,Jhunjhunu,449,34,412,3,0,3,-7,10,0,,
528,RJ,Rajasthan,RJ_Jodhpur,Jodhpur,3582,790,2727,65,0,0,0,0,0,,
529,RJ,Rajasthan,RJ_Karauli,Karauli,131,26,101,4,0,3,3,0,0,,
530,RJ,Rajasthan,RJ_Kota,Kota,777,87,664,26,0,1,1,0,0,,
531,RJ,Rajasthan,RJ_Nagaur,Nagaur,904,260,629,15,0,21,21,0,0,,
0,RJ,Rajasthan,RJ_Other State,Other State,155,83,41,31,0,0,0,0,0,,
532,RJ,Rajasthan,RJ_Pali,Pali,1413,261,1137,15,0,0,0,0,0,,
533,RJ,Rajasthan,RJ_Pratapgarh,Pratapgarh,145,129,15,1,0,3,2,1,0,,
534,RJ,Rajasthan,RJ_Rajsamand,Rajsamand,362,94,267,1,0,7,7,0,0,,
535,RJ,Rajasthan,RJ_Sawai Madhopur,Sawai Madhopur,128,23,96,9,0,7,7,0,0,,
536,RJ,Rajasthan,RJ_Sikar,Sikar,685,75,603,7,0,0,0,0,0,,
537,RJ,Rajasthan,RJ_Sirohi,Sirohi,636,122,507,7,0,0,0,0,0,,
538,RJ,Rajasthan,RJ_Tonk,Tonk,214,10,203,1,0,1,1,0,0,,
539,RJ,Rajasthan,RJ_Udaipur,Udaipur,861,154,702,5,0,31,31,0,0,,
540,SK,Sikkim,SK_East Sikkim,East Sikkim,71,35,23,0,13,0,0,0,0,,
541,SK,Sikkim,SK_North Sikkim,North Sikkim,1,0,1,0,0,0,0,0,0,,
542,SK,Sikkim,SK_South Sikkim,South Sikkim,38,12,26,0,0,0,0,0,0,,
543,SK,Sikkim,SK_West Sikkim,West Sikkim,21,10,11,0,0,0,0,0,0,,
0,TG,Telangana,TG_Foreign Evacuees,Foreign Evacuees,33,33,0,0,0,0,0,0,0,,
0,TG,Telangana,TG_Other State,Other State,250,250,0,0,0,0,0,0,0,,
576,TG,Telangana,TG_Adilabad,Adilabad,75,60,15,0,0,8,8,0,0,,
577,TG,Telangana,TG_Bhadradri Kothagudem,Bhadradri Kothagudem,74,70,4,0,0,0,0,0,0,,
578,TG,Telangana,TG_Hyderabad,Hyderabad,25774,25446,305,23,0,736,736,0,0,,
579,TG,Telangana,TG_Jagtial,Jagtial,46,44,2,0,0,2,2,0,0,,
580,TG,Telangana,TG_Jangaon,Jangaon,94,93,1,0,0,2,2,0,0,,
581,TG,Telangana,TG_Jayashankar Bhupalapally,Jayashankar Bhupalapally,25,25,0,0,0,0,0,0,0,,
582,TG,Telangana,TG_Jogulamba Gadwal,Jogulamba Gadwal,70,44,25,1,0,6,6,0,0,,
583,TG,Telangana,TG_Kamareddy,Kamareddy,87,79,8,0,0,0,0,0,0,,
584,TG,Telangana,TG_Karimnagar,Karimnagar,245,229,16,0,0,24,24,0,0,,
585,TG,Telangana,TG_Khammam,Khammam,132,129,3,0,0,2,2,0,0,,
586,TG,Telangana,TG_Komaram Bheem,Komaram Bheem,29,27,2,0,0,1,1,0,0,,
587,TG,Telangana,TG_Mahabubabad,Mahabubabad,59,58,1,0,0,0,0,0,0,,
588,TG,Telangana,TG_Mahabubnagar,Mahabubnagar,173,165,8,0,0,12,12,0,0,,
589,TG,Telangana,TG_Mancherial,Mancherial,110,109,0,1,0,5,5,0,0,,
590,TG,Telangana,TG_Medak,Medak,158,154,4,0,0,16,16,0,0,,
591,TG,Telangana,TG_Medchal Malkajgiri,Medchal Malkajgiri,1386,1376,9,1,0,101,101,0,0,,
592,TG,Telangana,TG_Mulugu,Mulugu,36,34,2,0,0,0,0,0,0,,
593,TG,Telangana,TG_Nagarkurnool,Nagarkurnool,30,28,2,0,0,0,0,0,0,,
594,TG,Telangana,TG_Nalgonda,Nalgonda,245,233,12,0,0,12,12,0,0,,
595,TG,Telangana,TG_Narayanpet,Narayanpet,22,21,0,1,0,5,5,0,0,,
596,TG,Telangana,TG_Nirmal,Nirmal,42,29,13,0,0,2,2,0,0,,
597,TG,Telangana,TG_Nizamabad,Nizamabad,202,172,30,0,0,12,12,0,0,,
598,TG,Telangana,TG_Peddapalli,Peddapalli,43,42,1,0,0,12,12,0,0,,
599,TG,Telangana,TG_Rajanna Sircilla,Rajanna Sircilla,94,92,2,0,0,24,24,0,0,,
600,TG,Telangana,TG_Ranga Reddy,Ranga Reddy,2256,2237,17,2,0,125,125,0,0,,
601,TG,Telangana,TG_Sangareddy,Sangareddy,357,351,6,0,0,13,13,0,0,,
602,TG,Telangana,TG_Siddipet,Siddipet,50,49,1,0,0,9,9,0,0,,
603,TG,Telangana,TG_Suryapet,Suryapet,173,149,24,0,0,7,7,0,0,,
604,TG,Telangana,TG_Vikarabad,Vikarabad,87,71,15,1,0,9,9,0,0,,
605,TG,Telangana,TG_Wanaparthy,Wanaparthy,30,30,0,0,0,2,2,0,0,,
606,TG,Telangana,TG_Warangal Rural,Warangal Rural,169,169,0,0,0,2,2,0,0,,
607,TG,Telangana,TG_Warangal Urban,Warangal Urban,248,225,23,0,0,20,20,0,0,,
608,TG,Telangana,TG_Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,42,42,0,0,0,9,9,0,0,,
0,TN,Tamil Nadu,TN_Railway Quarantine,Railway Quarantine,422,96,326,0,0,0,-1,1,0,,
0,TN,Tamil Nadu,TN_Airport Quarantine,Airport Quarantine,967,530,436,1,0,31,20,11,0,,
0,TN,Tamil Nadu,TN_Other State,Other State,0,-3,0,3,0,0,0,0,0,,
544,TN,Tamil Nadu,TN_Ariyalur,Ariyalur,509,49,459,1,0,12,11,0,1,,
732,TN,Tamil Nadu,TN_Chengalpattu,Chengalpattu,7872,3361,4357,154,0,237,233,2,2,,
545,TN,Tamil Nadu,TN_Chennai,Chennai,76158,17993,56947,1218,0,1189,-627,1791,25,,
546,TN,Tamil Nadu,TN_Coimbatore,Coimbatore,1142,813,321,8,0,71,68,1,2,,
547,TN,Tamil Nadu,TN_Cuddalore,Cuddalore,1510,437,1067,6,0,17,-26,42,1,,
548,TN,Tamil Nadu,TN_Dharmapuri,Dharmapuri,238,152,85,1,0,14,3,11,0,,
549,TN,Tamil Nadu,TN_Dindigul,Dindigul,756,232,516,8,0,6,-50,56,0,,
550,TN,Tamil Nadu,TN_Erode,Erode,369,188,175,6,0,42,-33,75,0,,
734,TN,Tamil Nadu,TN_Kallakurichi,Kallakurichi,1723,760,958,5,0,102,-47,148,1,,
551,TN,Tamil Nadu,TN_Kancheepuram,Kancheepuram,3218,1879,1293,46,0,119,82,33,4,,
552,TN,Tamil Nadu,TN_Kanyakumari,Kanyakumari,1203,741,457,5,0,133,83,49,1,,
553,TN,Tamil Nadu,TN_Karur,Karur,196,52,140,4,0,6,-3,8,1,,
554,TN,Tamil Nadu,TN_Krishnagiri,Krishnagiri,241,80,157,4,0,16,16,0,0,,
555,TN,Tamil Nadu,TN_Madurai,Madurai,5757,3843,1803,111,0,275,-288,553,10,,
556,TN,Tamil Nadu,TN_Nagapattinam,Nagapattinam,353,177,175,1,0,6,4,2,0,,
557,TN,Tamil Nadu,TN_Namakkal,Namakkal,162,67,94,1,0,12,10,2,0,,
564,TN,Tamil Nadu,TN_Nilgiris,Nilgiris,179,109,69,1,0,-2,-18,15,1,,
558,TN,Tamil Nadu,TN_Perambalur,Perambalur,174,12,161,1,0,2,2,0,0,,
559,TN,Tamil Nadu,TN_Pudukkottai,Pudukkottai,570,184,378,8,0,36,-96,132,0,,
560,TN,Tamil Nadu,TN_Ramanathapuram,Ramanathapuram,1774,1026,716,32,0,83,41,42,0,,
733,TN,Tamil Nadu,TN_Ranipet,Ranipet,1463,757,693,13,0,48,33,12,3,,
561,TN,Tamil Nadu,TN_Salem,Salem,1767,1057,703,7,0,137,101,36,0,,
562,TN,Tamil Nadu,TN_Sivaganga,Sivaganga,786,303,472,11,0,66,19,47,0,,
731,TN,Tamil Nadu,TN_Tenkasi,Tenkasi,665,365,299,1,0,67,67,0,0,,
563,TN,Tamil Nadu,TN_Thanjavur,Thanjavur,652,238,409,5,0,27,13,14,0,,
565,TN,Tamil Nadu,TN_Theni,Theni,1614,1066,532,16,0,119,69,48,2,,
566,TN,Tamil Nadu,TN_Thiruvallur,Thiruvallur,6421,2425,3874,122,0,346,204,138,4,,
567,TN,Tamil Nadu,TN_Thiruvarur,Thiruvarur,694,286,407,1,0,13,-1,13,1,,
568,TN,Tamil Nadu,TN_Thoothukkudi,Thoothukkudi,2124,1096,1017,11,0,175,156,16,3,,
569,TN,Tamil Nadu,TN_Tiruchirappalli,Tiruchirappalli,1401,589,797,15,0,128,72,53,3,,
570,TN,Tamil Nadu,TN_Tirunelveli,Tirunelveli,1629,815,804,10,0,78,38,39,1,,
735,TN,Tamil Nadu,TN_Tirupathur,Tirupathur,388,182,205,1,0,9,-14,22,1,,
571,TN,Tamil Nadu,TN_Tiruppur,Tiruppur,294,125,167,2,0,6,-5,11,0,,
572,TN,Tamil Nadu,TN_Tiruvannamalai,Tiruvannamalai,2925,1240,1664,21,0,64,28,35,1,,
573,TN,Tamil Nadu,TN_Vellore,Vellore,2622,1582,1034,6,0,136,84,52,0,,
574,TN,Tamil Nadu,TN_Viluppuram,Viluppuram,1455,515,921,19,0,44,6,38,0,,
575,TN,Tamil Nadu,TN_Virudhunagar,Virudhunagar,1833,994,827,12,0,95,51,43,1,,
609,TR,Tripura,TR_Dhalai,Dhalai,264,51,213,0,0,0,0,0,0,,
610,TR,Tripura,TR_Gomati,Gomati,263,107,155,0,1,0,0,0,0,,
611,TR,Tripura,TR_Khowai,Khowai,201,135,66,0,0,0,0,0,0,,
612,TR,Tripura,TR_North Tripura,North Tripura,69,40,23,0,6,0,0,0,0,,
613,TR,Tripura,TR_Sipahijala,Sipahijala,624,63,561,0,0,0,0,0,0,,
614,TR,Tripura,TR_South Tripura,South Tripura,151,20,130,0,1,0,0,0,0,,
615,TR,Tripura,TR_Unokoti,Unokoti,80,11,69,0,0,0,0,0,0,,
616,TR,Tripura,TR_West Tripura,West Tripura,279,118,155,1,5,0,0,0,0,,
617,UP,Uttar Pradesh,UP_Agra,Agra,1380,161,1126,93,0,13,-2,15,0,,
618,UP,Uttar Pradesh,UP_Aligarh,Aligarh,726,310,392,24,0,18,12,6,0,,
619,UP,Uttar Pradesh,UP_Ambedkar Nagar,Ambedkar Nagar,140,27,109,4,0,0,0,0,0,,
620,UP,Uttar Pradesh,UP_Amethi,Amethi,315,24,290,1,0,2,-1,3,0,,
621,UP,Uttar Pradesh,UP_Amroha,Amroha,218,111,102,5,0,16,16,0,0,,
622,UP,Uttar Pradesh,UP_Auraiya,Auraiya,118,15,101,2,0,0,-1,1,0,,
765,UP,Uttar Pradesh,UP_Ayodhya,Ayodhya,437,159,273,5,0,40,25,14,1,,
623,UP,Uttar Pradesh,UP_Azamgarh,Azamgarh,352,98,245,9,0,2,-25,27,0,,
624,UP,Uttar Pradesh,UP_Baghpat,Baghpat,436,147,282,7,0,9,-6,15,0,,
625,UP,Uttar Pradesh,UP_Bahraich,Bahraich,166,39,126,1,0,5,4,1,0,,
626,UP,Uttar Pradesh,UP_Ballia,Ballia,375,234,139,2,0,34,21,13,0,,
627,UP,Uttar Pradesh,UP_Balrampur,Balrampur,109,36,71,2,0,1,1,0,0,,
628,UP,Uttar Pradesh,UP_Banda,Banda,71,29,42,0,0,3,1,2,0,,
629,UP,Uttar Pradesh,UP_Barabanki,Barabanki,601,240,358,3,0,15,12,3,0,,
630,UP,Uttar Pradesh,UP_Bareilly,Bareilly,550,303,231,16,0,31,14,16,1,,
631,UP,Uttar Pradesh,UP_Basti,Basti,415,65,335,15,0,15,12,3,0,,
632,UP,Uttar Pradesh,UP_Bhadohi,Bhadohi,211,77,133,1,0,2,-2,4,0,,
633,UP,Uttar Pradesh,UP_Bijnor,Bijnor,396,100,290,6,0,9,0,9,0,,
634,UP,Uttar Pradesh,UP_Budaun,Budaun,200,61,137,2,0,4,3,1,0,,
635,UP,Uttar Pradesh,UP_Bulandshahr,Bulandshahr,871,263,584,24,0,13,-2,15,0,,
636,UP,Uttar Pradesh,UP_Chandauli,Chandauli,249,101,145,3,0,11,8,3,0,,
637,UP,Uttar Pradesh,UP_Chitrakoot,Chitrakoot,104,4,98,2,0,3,0,3,0,,
638,UP,Uttar Pradesh,UP_Deoria,Deoria,350,137,209,4,0,4,-2,6,0,,
639,UP,Uttar Pradesh,UP_Etah,Etah,165,51,106,8,0,1,-1,2,0,,
640,UP,Uttar Pradesh,UP_Etawah,Etawah,374,107,249,18,0,5,3,1,1,,
642,UP,Uttar Pradesh,UP_Farrukhabad,Farrukhabad,243,81,154,8,0,0,-6,6,0,,
643,UP,Uttar Pradesh,UP_Fatehpur,Fatehpur,206,67,135,4,0,7,4,1,2,,
644,UP,Uttar Pradesh,UP_Firozabad,Firozabad,545,25,490,30,0,-1,-2,1,0,,
645,UP,Uttar Pradesh,UP_Gautam Buddha Nagar,Gautam Buddha Nagar,3347,918,2396,33,0,87,-90,175,2,,
646,UP,Uttar Pradesh,UP_Ghaziabad,Ghaziabad,3016,1206,1747,63,0,153,-135,288,0,,
647,UP,Uttar Pradesh,UP_Ghazipur,Ghazipur,390,32,352,6,0,2,-26,28,0,,
648,UP,Uttar Pradesh,UP_Gonda,Gonda,213,45,161,7,0,5,4,1,0,,
649,UP,Uttar Pradesh,UP_Gorakhpur,Gorakhpur,595,223,355,17,0,57,47,9,1,,
650,UP,Uttar Pradesh,UP_Hamirpur,Hamirpur,105,22,81,2,0,0,-4,4,0,,
651,UP,Uttar Pradesh,UP_Hapur,Hapur,884,238,629,17,0,64,60,4,0,,
652,UP,Uttar Pradesh,UP_Hardoi,Hardoi,297,70,221,6,0,7,5,2,0,,
653,UP,Uttar Pradesh,UP_Hathras,Hathras,203,19,180,4,0,1,1,0,0,,
654,UP,Uttar Pradesh,UP_Jalaun,Jalaun,206,27,171,8,0,0,-3,3,0,,
655,UP,Uttar Pradesh,UP_Jaunpur,Jaunpur,658,152,497,9,0,18,10,8,0,,
656,UP,Uttar Pradesh,UP_Jhansi,Jhansi,527,345,148,34,0,62,28,33,1,,
657,UP,Uttar Pradesh,UP_Kannauj,Kannauj,327,83,242,2,0,29,23,6,0,,
658,UP,Uttar Pradesh,UP_Kanpur Dehat,Kanpur Dehat,78,20,57,1,0,0,0,0,0,,
659,UP,Uttar Pradesh,UP_Kanpur Nagar,Kanpur Nagar,1674,542,1049,83,0,55,45,5,5,,
660,UP,Uttar Pradesh,UP_Kasganj,Kasganj,169,94,75,0,0,9,9,0,0,,
661,UP,Uttar Pradesh,UP_Kaushambi,Kaushambi,164,64,99,1,0,4,-9,13,0,,
663,UP,Uttar Pradesh,UP_Kushinagar,Kushinagar,221,97,120,4,0,9,9,0,0,,
662,UP,Uttar Pradesh,UP_Lakhimpur Kheri,Lakhimpur Kheri,151,37,114,0,0,9,9,0,0,,
664,UP,Uttar Pradesh,UP_Lalitpur,Lalitpur,41,34,4,3,0,10,9,1,0,,
665,UP,Uttar Pradesh,UP_Lucknow,Lucknow,2214,1149,1036,29,0,202,177,24,1,,
667,UP,Uttar Pradesh,UP_Maharajganj,Maharajganj,254,91,160,3,0,12,9,3,0,,
666,UP,Uttar Pradesh,UP_Mahoba,Mahoba,75,17,57,1,0,1,-1,2,0,,
668,UP,Uttar Pradesh,UP_Mainpuri,Mainpuri,280,21,248,11,0,0,-2,2,0,,
669,UP,Uttar Pradesh,UP_Mathura,Mathura,503,204,276,23,0,19,11,6,2,,
670,UP,Uttar Pradesh,UP_Mau,Mau,270,175,91,4,0,39,39,0,0,,
671,UP,Uttar Pradesh,UP_Meerut,Meerut,1458,460,909,89,0,31,18,10,3,,
672,UP,Uttar Pradesh,UP_Mirzapur,Mirzapur,231,132,97,2,0,20,15,6,-1,,
673,UP,Uttar Pradesh,UP_Moradabad,Moradabad,684,224,430,30,0,17,2,14,1,,
674,UP,Uttar Pradesh,UP_Muzaffarnagar,Muzaffarnagar,407,124,271,12,0,10,9,1,0,,
675,UP,Uttar Pradesh,UP_Pilibhit,Pilibhit,179,46,133,0,0,4,4,0,0,,
676,UP,Uttar Pradesh,UP_Pratapgarh,Pratapgarh,132,16,107,9,0,0,-1,1,0,,
677,UP,Uttar Pradesh,UP_Prayagraj,Prayagraj,556,245,294,17,0,53,46,5,2,,
678,UP,Uttar Pradesh,UP_Rae Bareli,Rae Bareli,174,39,131,4,0,4,3,1,0,,
679,UP,Uttar Pradesh,UP_Rampur,Rampur,428,69,354,5,0,5,5,0,0,,
680,UP,Uttar Pradesh,UP_Saharanpur,Saharanpur,545,146,397,2,0,17,16,1,0,,
681,UP,Uttar Pradesh,UP_Sambhal,Sambhal,483,143,332,8,0,23,23,0,0,,
682,UP,Uttar Pradesh,UP_Sant Kabir Nagar,Sant Kabir Nagar,368,134,227,7,0,25,19,6,0,,
683,UP,Uttar Pradesh,UP_Shahjahanpur,Shahjahanpur,170,41,129,0,0,9,4,5,0,,
684,UP,Uttar Pradesh,UP_Shamli,Shamli,191,27,161,3,0,4,-10,14,0,,
685,UP,Uttar Pradesh,UP_Shrawasti,Shrawasti,84,23,59,2,0,5,4,1,0,,
686,UP,Uttar Pradesh,UP_Siddharthnagar,Siddharthnagar,300,47,243,10,0,3,-18,20,1,,
687,UP,Uttar Pradesh,UP_Sitapur,Sitapur,92,30,61,1,0,2,2,0,0,,
688,UP,Uttar Pradesh,UP_Sonbhadra,Sonbhadra,76,35,41,0,0,1,-2,3,0,,
689,UP,Uttar Pradesh,UP_Sultanpur,Sultanpur,227,35,186,6,0,3,1,2,0,,
690,UP,Uttar Pradesh,UP_Unnao,Unnao,303,141,159,3,0,0,0,0,0,,
691,UP,Uttar Pradesh,UP_Varanasi,Varanasi,819,336,450,33,0,40,15,24,1,,
692,UT,Uttarakhand,UT_Almora,Almora,201,19,179,2,1,3,3,0,0,,
693,UT,Uttarakhand,UT_Bageshwar,Bageshwar,93,0,92,1,0,0,0,0,0,,
694,UT,Uttarakhand,UT_Chamoli,Chamoli,77,1,76,0,0,1,-2,3,0,,
695,UT,Uttarakhand,UT_Champawat,Champawat,65,11,53,1,0,0,0,0,0,,
696,UT,Uttarakhand,UT_Dehradun,Dehradun,836,135,654,27,20,20,14,6,0,,
697,UT,Uttarakhand,UT_Haridwar,Haridwar,347,38,301,0,8,3,3,0,0,,
698,UT,Uttarakhand,UT_Nainital,Nainital,564,184,375,4,1,0,-2,2,0,,
699,UT,Uttarakhand,UT_Pauri Garhwal,Pauri Garhwal,160,13,143,4,0,0,0,0,0,,
700,UT,Uttarakhand,UT_Pithoragarh,Pithoragarh,70,5,65,0,0,0,0,0,0,,
701,UT,Uttarakhand,UT_Rudraprayag,Rudraprayag,67,1,65,1,0,1,1,0,0,,
702,UT,Uttarakhand,UT_Tehri Garhwal,Tehri Garhwal,429,8,419,2,0,2,1,1,0,,
703,UT,Uttarakhand,UT_Udham Singh Nagar,Udham Singh Nagar,416,181,232,3,0,14,14,0,0,,
704,UT,Uttarakhand,UT_Uttarkashi,Uttarkashi,92,27,64,1,0,0,0,0,0,,
705,WB,West Bengal,WB_Alipurduar,Alipurduar,194,8,186,0,0,1,1,0,0,,
706,WB,West Bengal,WB_Bankura,Bankura,304,48,256,0,0,1,-9,10,0,,
707,WB,West Bengal,WB_Birbhum,Birbhum,330,27,300,3,0,4,4,0,0,,
708,WB,West Bengal,WB_Cooch Behar,Cooch Behar,318,10,308,0,0,0,0,0,0,,
709,WB,West Bengal,WB_Dakshin Dinajpur,Dakshin Dinajpur,304,86,217,1,0,5,2,3,0,,
710,WB,West Bengal,WB_Darjeeling,Darjeeling,836,297,527,12,0,72,55,17,0,,
711,WB,West Bengal,WB_Hooghly,Hooghly,1474,448,997,29,0,56,33,23,0,,
712,WB,West Bengal,WB_Howrah,Howrah,3825,1119,2581,125,0,130,72,54,4,,
713,WB,West Bengal,WB_Jalpaiguri,Jalpaiguri,508,128,377,3,0,46,24,22,0,,
714,WB,West Bengal,WB_Jhargram,Jhargram,25,0,25,0,0,0,0,0,0,,
715,WB,West Bengal,WB_Kalimpong,Kalimpong,56,1,54,1,0,0,-2,2,0,,
716,WB,West Bengal,WB_Kolkata,Kolkata,9154,3280,5388,486,0,412,213,183,16,,
717,WB,West Bengal,WB_Malda,Malda,1096,374,715,7,0,45,-9,54,0,,
719,WB,West Bengal,WB_Murshidabad,Murshidabad,339,86,249,4,0,17,5,12,0,,
720,WB,West Bengal,WB_Nadia,Nadia,409,82,319,8,0,13,3,10,0,,
721,WB,West Bengal,WB_North 24 Parganas,North 24 Parganas,5272,2228,2883,161,0,327,181,141,5,,
0,WB,West Bengal,WB_Other State,Other State,66,0,63,3,0,0,0,0,0,,
722,WB,West Bengal,WB_Paschim Bardhaman,Paschim Bardhaman,200,51,144,5,0,5,-3,8,0,,
718,WB,West Bengal,WB_Paschim Medinipur,Paschim Medinipur,465,90,368,7,0,19,19,0,0,,
723,WB,West Bengal,WB_Purba Bardhaman,Purba Bardhaman,219,42,174,3,0,3,-3,6,0,,
724,WB,West Bengal,WB_Purba Medinipur,Purba Medinipur,495,144,343,8,0,21,14,7,0,,
725,WB,West Bengal,WB_Purulia,Purulia,115,20,95,0,0,0,-2,2,0,,
726,WB,West Bengal,WB_South 24 Parganas,South 24 Parganas,2067,945,1083,39,0,149,99,49,1,,
727,WB,West Bengal,WB_Uttar Dinajpur,Uttar Dinajpur,382,74,307,1,0,18,10,8,0,,
728,AN,Andaman and Nicobar Islands,AN_Unknown,Unknown,104,45,59,0,0,0,0,0,0,,
729,AP,Andhra Pradesh,AP_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
730,AR,Arunachal Pradesh,AR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
731,AS,Assam,AS_Unknown,Unknown,5804,-2949,8735,15,3,0,0,0,0,,
732,BR,Bihar,BR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
733,CH,Chandigarh,CH_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
734,CT,Chhattisgarh,CT_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
735,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
737,DL,Delhi,DL_Unknown,Unknown,110133,19108,87692,3333,0,0,0,0,0,,
738,GA,Goa,GA_Unknown,Unknown,562,0,562,0,0,0,0,0,0,,
739,GJ,Gujarat,GJ_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
740,HR,Haryana,HR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
741,HP,Himachal Pradesh,HP_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
742,JK,Jammu and Kashmir,JK_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
743,JH,Jharkhand,JH_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
744,KA,Karnataka,KA_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
745,KL,Kerala,KL_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
746,LA,Ladakh,LA_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
747,LD,Lakshadweep,LD_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
748,MP,Madhya Pradesh,MP_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
749,MH,Maharashtra,MH_Unknown,Unknown,8139,3556,4360,223,0,0,0,0,0,,
750,MN,Manipur,MN_Unknown,Unknown,0,-489,489,0,0,0,0,0,0,,
751,ML,Meghalaya,ML_Unknown,Unknown,87,74,12,1,0,0,0,0,0,,
752,MZ,Mizoram,MZ_Unknown,Unknown,1,1,0,0,0,0,0,0,0,,
753,NL,Nagaland,NL_Unknown,Unknown,0,-253,253,0,0,0,0,0,0,,
754,OR,Odisha,OR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
755,PY,Puducherry,PY_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
756,PB,Punjab,PB_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
757,RJ,Rajasthan,RJ_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
758,SK,Sikkim,SK_Unknown,Unknown,29,10,19,0,0,0,0,0,0,,
759,TN,Tamil Nadu,TN_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
760,TG,Telangana,TG_Unknown,Unknown,456,-20230,20368,318,0,0,0,0,0,,
761,TR,Tripura,TR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
762,UP,Uttar Pradesh,UP_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
763,UT,Uttarakhand,UT_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
764,WB,West Bengal,WB_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
